test_id,input,schema_valid,errors,activity_f1,companion_f1,expected_json,predicted_json
1,실내에서 놀고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}"
2,비 오니까 실내에서 카페 가고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}"
3,전시 보고 싶은데 실내 위주로 가고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""culture""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""culture""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""indoor""}"
4,야외에서 걷고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""walk""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""walk""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}"
5,밖에서 카페 마시고 산책하고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe"", ""walk""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe"", ""walk""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}"
6,무조건 야외가 좋아,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""outdoor""}"
7,실내든 야외든 상관없어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""any""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""any""}"
8,안이든 밖이든 상관없이 카페 가고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""any""}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": ""any""}"
9,카페 가고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": null}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""cafe""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": null}"
10,전시 보고 싶어,True,PASS,1.0,1.0,"{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""culture""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": null}","{""start_location_text"": null, ""end_location_text"": null, ""start_time"": null, ""end_time"": null, ""desired_duration_minutes"": null, ""activities"": [""culture""], ""transport_mode"": ""auto"", ""companions"": [], ""budget_max"": null, ""budget_preference"": null, ""space_preference"": null}"
